Review,title,Rating
"I heard a lot about Cafe-in-the-Crypt from my friends, who always enjoyed its freshly cooked food and efficient service, so my partner and I had dinner here last Saturday. Unfortunately, the night was close to a disaster. I think the main reason is that they...More",beautiful setting,3.0
"Dear Alexis
I am very sorry to read about your experience and will certainly raise it with the management team to find out what went wrong and determine how we can improve in the future. We do appreciate your offer to try us again in...More",Great experience,4.0
"popped in out of the rain for coffee and cake. Whilst the food looks lovely, and was tasty, service (self service) is a bit disorganised, I had to attract attention to get cakes, and then had to queue in a dysfunctional queue to try to...More",Magical place,5.0
"In a city where everything is very expensive, the Café in the Crypt of St Martin in the Fields is a pleasant exception. The Café - located in the crypt of a currently operating anglican church - is actually good value for the money you...More",Nice place but weak service ,3.0
"The church with its fabulous architecture and perfect acoustics bring me memories of the times I had the chance to listen to gorgeous concerts and even their service, just so I could listen to the choir. Do not miss the crypt with its unique cafe,...More",FOOD NOT GREAT; SETTING UNIQUE,3.0
"Lovely food for the price. But the menu was wrong and the kids food not available (despite being advertised as weekends and school holidays). Suggestions for alternatives, begrudgingly provided.
Very nice setting.",Beautiful setting,4.0
"Eating in the crypt of a church is not usual. Vaulted ceilings do create an atmosphere. Given what I know about St Martin-in-the-Fields, and the good works it does, I went in expecting 1960s sincere, and the vegetarian curry I had confirmed that aspect of...More","Crept up on me, in a good way",5.0
"The crypt is lovely and spacious with beautiful vaulted ceilings. There was a selection of interesting salads, and the soup was good and portions were generous. It wasn't that expensive - I will go back when I'm in London again.",Friends meet up,3.0
"At first, I was a little disappointed at the selection. I guess we came at a bit of an off hour and as a dumb American who doesnt get out much, when Frommer's described this ""cafeteria"", I expected more extensive menus on the wall, more...More",Such a worthwhile stop for sustenance and more.,5.0
"Three of us met on the 21st at lunchtime. The café is comfortable and the staff are friendly and helpful.
The food was ok but it was disappointing that the advertised ""cream tea"" did not include tea but was just a scone, cream and jam-...More",Such a cool venue for dinner,5.0
"Hi Maureen,
Thank you for your review. While the café does provide a ‘Cream Tea’ service, it is not advertised on the menu. The options are:
- Fruit scone with jam and Cornish clotted cream for £4.25
- St Martins Afternoon Tea plate with tea-...More",Always On Top Form,5.0
I visited the Crypt Cafe a few years ago and was really impressed and amazed at the beauty of this unique dining area. I visited this time just for a coffee and snack but was impressed by the menu range. Had I been in need...More,Welcome cosy lunch,5.0
"Loved the atmosphere, and the food was great, too. First time I'd ever had actual shepherd's pie (US calls cottage pie (beef) that, this was truly mutton or lamb), and it was delicious! The staff was very friendly, helped us out with questions, and made...More",Reliable and reasonable,3.0
"We always try and pop into the Crypt Cafe when we are in London. It is always good value for money and the food is excellent. Centrally located just off Trafalgar Square, close to the National Galley and Charing Cross, and of course with an...More",Great Place,5.0
We came here for Saturday lunch as part of a long weekend in London and we were not disappointed. We had been on a 2 hour guided walk in extremely cold weather and were warmed up with delicious homemade vegetable soup. We also both had...More,Lovely,5.0
"After visiting the National Gallery we went for lunch - it was very busy. They had a small selection on sandwiches, hot food and salad bar in a self-service cafeteria style. We settled for soup and a roll - it was OK but could have...More",Lunchtime,5.0
"Love this place, been going here for years. Beautiful and interesting environment. So close to Covent Garden, Charing Cross, National Gallery. Good food. Polite and helpful staff.",A chance to contribute,4.0
Beautiful environment. Busy but well stocked and managed. Free drinking water station. Refreshing experience. Highly recomendsd,"The Crypt Restaurant in St. Martin's in the Field Church, Trafalgar Square, London",5.0
"I was recently in London and went with friend to St Martin-in-the-Field Crypt for lunch. My friends hadn't been before and were impressed with the choice of fresh meals available. Good range from soups ,salads ,hot meals and also cakes. There was also a good...More",Lovely soup!,4.0
"What a bonus to be able to enjoy good food in atmospheric surroundings in the heart of tourist London knowing that you are contributing to the work of St Martin-in-the-Fields church.
The lunch menu changes weekly, and offers two main courses - one meat and...More",Atmospheric and relaxing,5.0
"What a great place to eat. Whether you want a hot meal, a sandwich or a cuppa and cake this is the perfect place.
The Crypt caters for everyone and there is a good range of hot and cold meals plus light bites, sandwiches and...More",Good food down under,4.0
"Called here on the way back to my hotel. Lovely, atmospheric setting which is much larger and busier than I expected. Had a very delicious pumpkin soup and a good cup of tea. All the food on offer looked tasty and this is a cafe...More",I love this place!,4.0
"I've marked it five stars -after a bit of thought- simply because the surroundings are so atmospheric: under this beautiful church, with fine brick vaulted ceilings and tombstones set in the floor.
Lunch takes the form of a buffet with salad bar, hot soup, a...More","Tea, cake and conviviality",5.0
"We have been visiting the café in the crypt of St Martin-in-the-field church for years. It is always a pleasure to eat there. Food is simple and well cooked, there is always a nice vegetarian option. It is very convenient for a pre-theatre meal. This...More",Perfect for Trafalgar Square and Performances,4.0
"We have lunch here at least once, every time we’re in London. The location is amazing convenient when visiting the National Gallery or the Portrait Gallery. An architecturally unique and beautiful space, reasonable prices, good quality food and all for a good cause. A great...More",Friendly atmosphere to meet friends and relatives,5.0
After a rushed (albeit healthy) lunch we wanted dessert and tea in a more relaxed setting. St Martin-in-the-Fields Cafe in the Crypt proved to be the perfect venue. Had lovely pots of Earl Grey tea and a delicious almond tart. We had a table to...More,great hideaway for hearty meal at reasonable cost,5.0
A perfect line-service cafe for Trafalgar Square. Also great for the break if you're at a performance at St-Martin-in-the-Fields. Quality of the cakes was good. Prices were normal for the area.,Don't miss it,5.0
"Came across this place but only had time for refreshments. I did see food others had ordered and all looked delicious. Our drinks were good and inexpensive.
The actual cafe is a wonder to explore.
Until I visited I had no idea of what went...More",Great unexpected venue in central London,5.0
"The cafe under St Martin in the Fields is one of my favorite places to relax and enjoy a meal or a snack. It is located in Trafalgar Square. directly across from the National Gallery, the National Portrait Gallery and right around so many west...More",Interesting place to dine,4.0
"This is where the pensioners go for good, hardy, local food that is easy on the pocketbook. An oasis in an expensive and touristy part of town, but you have to go to Trafalgar at some point. With the exception of high summer, you will...More",Absolutely eat here!,5.0
"This venue has lots of character, situated under the St Martin's in the fields near Trafalgar Square.
Cafe - food was good and drink selection was fine. There is a gift shop on the side.
Staff - great.
The jazz concert was superb - well...More",Saturday awkward lunch -cold food and coffee :(,2.0
"If you don't want to wait for something filling and good value, this is a perfect place. The veggie choice is always good (blue cheese, spinach and pine nut lasagne) and the children's menu fine. Everyone is very friendly and tables were quickly cleaned.",It was ok,3.0
I am piggybacking off another review in that I am hesitant to rave about this place because it seems to be a well-kept secret. We have been eating at the Crypt since we started traveling I to London about 20 years ago. They change the...More,Worth calling in ...,4.0
"visited before going to the gallery opposite and needed a fairly quick value meal. Had the ""hot"" dish which was missing on heat to my absolute horror, spoiling the enjoyment of a rare day out . The coffee was equally cold. I thought my companion...More",school dinner food,2.0
"Dear Mizmarg
I am very sorry to hear that that your meal was not up to standard at your recent visit. Please do accept our apologies, We are reviewing your feedback to see where our procedures were not adhered to and where we can make...More",Pie without the piety,5.0
"Went on a very busy Saturday lunchtime. The queue for food was quite long and fairly disorganised and we just about found a seat.
Food was ok. Salads were good - soup ok but the bread it came with terrible (come on guys it should...More",Jazz night,4.0
"Described as a 'hidden gem' this eating place is in the atmospheric crypt od St Martins in the Fields adjacent to Trafalgar Square. Food is served buffet/cafeteria style with, on the two nights I've used it recently a fair and changing choice, Prices were fair,...More","one of the nicest, cleanest and best food while touring",5.0
We have been here many times when we visit London but not again. The food is poor but worse still - tepid. There were row upon row of dishes set out for jazz night and were there for at least 90 minutes at lukewarm temperature....More,"Hidden gem, that is not as difficult to find as you might think",4.0
"Dear Bill
I can only apologise for your experience during your recent visit. There would have been a duty manager on site but I am sorry if they were not easily recognisable and therefore you were unable to speak to someone while you were here....More",Cafe in a Crypt,4.0
"Have been here a couple of times before, either just for a meal or as part of a meeting. Very pleasant surroundings with a vaulted brick ceiling supported by pillars. The range of food is a bit limited but it tastes fresh and service is...More",Great Little Cafe,5.0
Highly recommended. Every wednesday is a jazz night with a very small amount to pay for the tickets. Dinner is available. Do not forget to try apple crumle.,Atmospheric place,4.0
"i love the lower levels of churches. and this one is great. has an elevator to get down to the cafe.. it has atmosphere galore, great friendly staff and good, reasonably priced food.. handy to Trafalgar square etc. too..",Fabulous lunch in an atmospheric quirky cafe,5.0
"Called in when we were up town for a theatre visit with some time to kill. The cafe provides a range for food, teas/coffees and snacks for those not requiring anything so substantial. All food and drinks are available from a self-service counter with payment...More",This is a quirky place to have lunch although it's quite a tourist trap these days!,4.0
This is the café in the crypt of St Martin in the Fields church on the East side of Trafalgar Square. Enter the church and find the stairs down to the crypt and you'll find a great place for a drink and a snack. The...More,"Welcoming atmosphere, excellent service and really nice food.",5.0
"If you are going to a concert this is a great place for a pre- or -post dinner. Lots of good soups and sandwiches, desserts, and hot items. A hidden gem to relax and enjoy.",Lumiere London ,5.0
Came here for late Saturday lunch. Very very busy but we found a table ( the place is vast!) It has been beautifully converted and had a great atmosphere. My children both had soup ( good).They had sold out of all the sandwiches ( it...More,Rainy day coffee & cake,5.0
My friend and I had a delicious two course hot roast lunch plus a glass of wine for £16.95. Can recommend the apple crumble! Helpful polite servers. Clean well stocked toilets. Really quirky cafe. You get up from lunch and see you are standing on...More,Unusual venue and great food,5.0
"We've been to this cafe several times. Once for their jazz evening, which they have on certain Wednesdays. It's certainly very atmospheric, with average prices for London. We only had a sandwich and drink.",Oasis beneath covent garden,4.0
"Great location and uncommon venue is what got us attracted to Cafe in the Crypt. Although it is cafeteria style, food is superior in quality than at some other places with higher prices. There is plenty of room to sit in this calm and inviting...More","Great place, value and first notch food",5.0
"Came up to London last week to see Lumiere London . Called in the gift shop to get a programme and stopped for cake . We decided we liked it so much, in between traversing London to see the exhibition , stopped off at the...More",Meeting friend for lunch,4.0
I’d seen this place on Visit London and thought we’d visit on our next trip into the city. We followed google maps and I can’t believe how many times I’ve walked past the entrance and never realised what laid below! We went down the stairs...More,"Huge cafe, really warm and welcoming atmosphere",4.0
I have visited this cafe many times and love the atmosphere and its proximity to many of London's sights Its especially convenient for the National Gallery. There is always room and the self service is good. I often have the soup and sweet deal which...More,Oh dear!,2.0
Lovely warm and comfortable place to sit and relax away from the bustle of Covent Garden/trafalgar square. Atmospheric and interesting space. I had a very good wholesome soup. My coffee could have been warmer,Great Cafe under the Church,4.0
"We had sandwich and soup, both were home made vs factory. Soup definately was kitchen made or adjusted, I would say, made from scratch.
Quite unique setting, my wife said coming back from the bathroom, there are tombstones in the floor......Good value and good product",Good cheap food in convivial atmosphere,4.0
Great location to break from a days sight-seeing or as a half-way stopping off location. Lots of room to sit and an efficient counter service. Food is tasty and enjoyable.,St Martin-in-the-Fields Cafe in the Crypt,4.0
"This café occupies the whole of the original crypt of the iconic St Martin-in-the-Field church on one side of London's Trafalgar Square. Not many cafes have memorial tombstones set in their floor, adding to the atmosphere created by the low, arched brickwork ceiling. There are...More",A favourite,5.0
"‘Chicken’ and mushroom pie very disappointing. Lumps of ‘chicken’ (really?) almost tasteless, pastry soggy, sauce wishy washy. This previously regular visitor will not be back as food has become less and less appetising in recent months.","Awesome, just awesome.",5.0
"Brilliant cafe with a wide variety on offer. My husband had an excellent Soup and I had a yummy larger-than-average Danish pastry. Prices seemed very reasonable. Lovely peaceful atmosphere. Tables spaced a bit wider apart than the average, so more pleasant for the eaters. Would...More",Beautiful Experience,5.0
"Great place, specially for a pit stop when you’re cultured out - on en route to something. Fairly quick service, great simple good food - soups, salads, sandwiches, hot dishes, puds, cakes - and a beautiful cryptish warm red brick ceiling to stare at if...More","Great food, good price, and the proceeds go the church",5.0
Nice cafe attached to the church. In winter a nice place for a hot soup. Excellent service but limited seating. Floors and walls have tombstones that are fascinating. In winter a nice place to relax and get warm as a break from wlaking about,Recommended!,4.0
Always a favourite of mine this place. A fair bit on the menu apart from great coffee and tea & cake. Interestingly it was cleared out as a crypt during WW2 to be prepared as an air raid shelter. Also it's rarely mad busy so...More,safe and inviting when on your own,4.0
"If you haven't been you must go. Loved this place so much we ate here twice in 5 days. Food is tasty, fresh, plentiful and great prices. The menu is limited and changes each day. You can also get alcoholic beverages. But wait I haven't...More",Reasonable range and OK prices,4.0
"The Crypt has been beautifully renovated and now incorporates a Cafe. Interesting architecture, delicious ""home cooked"" food and the ability to contribute to the work of the Church. Open early for breakfast at 8am (Monday to Friday), then open for lunch, afternoon tea and dinner...More","Great food , , good range and very helpful staff, good value",5.0
"Great food. Good portion, tasty however, the servers are really really really slow and ignorant. If you are very hungry it’s a great place but I would recommend eating some snacks because you don’t know how long you might have to wait. We went on...More","Splendid, again!",5.0
"We were tired from the long walk and sight-seeing and we came to this cafe the first time for a snack but during our stay we returned two more times, -the last we dropped in for an afternoon tea.
It is a great place to...More","Another very poor meal, avoid at all costs!",1.0
"I love this place, always have. The food is fresh, staff very friendly and lots of choice all day. I love the fact that when I look around it is a place where friends meet, couples catch up, tourists enjoy and people alone can sit...More",Lovely food in an interesting location,4.0
The main thing about the crypt is the location. The food is (sort of) canteen style with a reasonable enough choice and a decent meal-deal for 2 courses and a drink. It does get crowded so be aware of that.,"Jazz Night in the Crypt, Mississippi Swamp Dogs",5.0
"A wide range of offers. I went mid December so a full Christmas dinner was one , this looked very good and seemed to be enjoyed by those who had chosen this. I had a huge bowl of soup, loads of veggies and a roll...More",Breakfast ,4.0
"Yet another visit to this delightful place. We always pop in whilst in the capital. Friendly staff, competitive prices for good food and rather relaxing too. Today’s eats included both types of soup (Thai chicken and potato and parsnip), assorted sarnies and pipers crisps. All...More",great place for break in the day,4.0
"I thought I’d give the cafe another go......I shouldn’t have bothered. The last time I visited my meal was barely lukewarm. This time it was possibly cooler. My Christmas lunch wasn’t cheap (£11.95) but it was barely warm. The parsnips, gravy, carrots and sprouts (a...More",Really nice and loive the floor,4.0
"Dear Mark,
I can only apologise that your meal was not as hot as it should have been and that we were unaware on the day as we could have replaced it. Thank you for taking the time to let us know and I have...More",Don't get excited,3.0
"The location of the cafe is fascinating, it’s a peaceful spot in the bustle of Trafalgar Square. Lovely fresh food, good vegetarian options. Lovely clean loos. The staff were friendly and helpful",Cafe with a heart,5.0
"Fantastic event, very relaxing way to enjoy New Orleans music, the band looks a bit wacky at first glance, one person in our group summed it up, this is what middle aged IT managers get up to after hours. Laid back atmosphere, the band leader,...More",Great atmosphere and good soup!,4.0
"Nice breakfast, although tomatoes were a bit too big. The crypt is atmospheric and the profits go to support the work of St Martins, definitely worth a visit",Value for money,4.0
"We read about this café in Rick Steves London book and stopped in and it was a great place for a drink and quick lunch. Lots of choice for drinks and lunch options, and very quiet while we were there. Stairs down to the café...More",What an atmosphere and venue,5.0
"I have eaten here many times and have had drinks in the interval when attending concerts.
A nice quirky atmosphere. Food is pretty decent, drinks are not that expensive considering the location right next to Trafalgar square. Thee floor and valuter ceilings of the crypt...More",GOOD VALUE FOR YOUR MONEY,5.0
I was in the mood for some Christmas turkey and gravy. This seemed liked the place and the cafe was certainly pumping. But what a let down. The turkey was over cooked and dry. The veges were soft and there were no crispy edges on...More,Something for all tastes,5.0
"Dear Carnage,
Thank you for taking the time to share your feedback with us. I will pass on your comments to the chefs.
Yours sincerely,
Julie, Café Team",St Martins in the Field Crypt,4.0
"Excellent food and value for money, supporting a wonderful cause.
A perfect place to chat with a friend and enjoy the book and gift shop afterwards.",Hearty meal in a good atmosphere ,3.0
"This wonderful cafe in the Crypt has a perfect position near visitor sites and transport links. Their food is fresh, well prepared/cooked and good value (especially the soup!) It is also a special historic place where supporting the cafe is also supporting the valuable work...More","Busy lunch, great food",4.0
We decided to have lunch here after visiting the National Gallery just opposite in Trafalgar Square. It's a good atmosphere and lovely setting being in the crypt of the church. We were more than happy with our food choices and there were also a variety...More,"We like it so much, we ate here twice in one day!",4.0
"While in London to see the lights around Christmas time, there is no better place to stop off for a nice cappuccino and chat with your relations, and that's what we did last Saturday. Try it for yourself. You won't be disappointed. The food also...More","lost the plot, versus 5 years ago",3.0
Nice quiet venue with good food the staff were very helpful and pleasant in good clean surroundings the young lady cashier NATALIE was extremely helpful and caring.,Nice Setting,3.0
This cafe has a wonderful atmosphere catering for small or large numbers with choices of food ranging from snacks to full meals. The food is of a good quality and reasonably priced,A great find,4.0
This cafe is either accessed by stairs or the lift which is beside the church. It is a good sized cafe which generates money for the church. There is a good selection of nicely cooked dishes available as well as cakes & pastries. There is...More,Refocus,3.0
We were in a largish group that stopped into the crypt for a Friday late lunch. The place was busy but we got our meals and found a table. The food was good with large portions and reasonable (for central London) prices. The drinks seemed...More,"Unusual place, in the bowels of the church.",5.0
"We visited on a Saturday lunchtime, around 1.00. It was awful weather so The Crypt was naturally busy. Great location under St Martin-in-the-FIelds church. Access is easy and there is a lift for the less able.
The canteen style service was really efficient and gave...More",hidden gem,4.0
"If you like barrel vaulting (and who doesn't?), it would be worth popping in just for the room. As it is, however, this is a delightful place for a morning coffee, particularly given its proximity to all of the attractions of Trafalgar Square. That was...More",Food & Music that's what I call a great night out,5.0
"Veggie breakfast has half a mushroom, an over fried egg, two bit of toast, and an almost raw tomato. Then they found some beans that had gone missing
Not good enough, depsite it being a good causeMore",Great stop for those with tired feet and empty stomachs,4.0
"Dear Ballbob,
I can only apologise that your breakfast was not up to our usual standards. I have raised this issue at our regular team meeting and we have implemented an additional catering check to ensure this does not re-occur in the future. Thank you...More",Had a vegetarian pasta bake - yum yum!,4.0
Food quality is good but when we came for breakfast the majority of the food had run out! I waited a while for mushrooms and tomatoes as the servers provided duff timescales. I had a traditional breakfast minus scrambled egg and baked beans. Staff were...More,A little something different away from the hustle and bustle,5.0
"Dear Lorna,
I can only apologise that we had run out of breakfast when you were here and what you were charged did not match up with the breakfast we were able to provide. I have followed this up with the manager and we have...More",Good Food,4.0
"St Martin-in-the-Fields Cafe in the Crypt, this says it all. Though not an extensive menu, it can cater for your snack/lunchtime needs all set in a spectacular setting. There is a range of snacks, breakfast, lunch all freshly made on site. Similarly, varied choice of...More",Vegetarian main course,3.0
"As an occasional user: bit of refocusing required, methinks.
Only two mains on, one of which was fish and which - since there was none waiting to be served - then took ten minutes before any was ready. Fair enough to only cook it fresh...More",Always worth dropping in,4.0
Great place and yummy food. Easy to get to and surrounded by interesting places i.e. Trafalgar Square and National Portrait Gallery. All proceeds from cafe goes towards homeless shelter and upkeep of church. They have special programmes for choral and classical music even candlelit performances...More,Wonderful food in the crypt,5.0
Great place to dive into when it's not great weather outside. You descend into the subterranean cafe into another world. Full of nice things to eat and drink.,Hidden Treasure,4.0
"This was my first visit to St. Martin in the Fields & what a wonderful building it is. It has a tranquillity about it somewhere to hide away from the noise outside, except for emergency sirens but just seems to be the norm these days....More",A Great Cup of Coffee,5.0
"Finding a convenient place to eat near Trafalgar Square is trickier than it seems. There are lots of busy roads to cross, tourists and locals to try and wade through and most of the nearby eateries are chains or too small to offer much of...More",Hidden Secret,4.0
"We were at the church for a concert, so took the opportunity to use the cafe to have a light meal beforehand. Thoroughly enjoyed the not-that-expensive (certainly not for London) pasta-bake. Our daughter had a salad which looked absolutely first class and I confess to...More",Vaulted ceilings and verdant food,5.0
"I love coming in here to get away from the busy streets outside- service is friendly, seats are plentiful and the food is lovely- from hot meals to scones and hot apple crumble; a great place to recharge with a nice pot of tea!","Feed yourself, feed the hungry.",5.0
"The area around Trafalgar Square is awash with chain restaurants and smaller non-chain places which are sometimes good, sometimes not so. There are also the more upmarket places which are best entered with an expense account, and the coffee houses with the ubiquitous panini.
London,...More",Underwhelming Experience ,2.0
"The price was reasonable and the helpings ample. But the vegetarian meal was disappointing. Mushy pie filling with what seemed like chunks of swede or turnip. The top (filo? pastry?, not sure what it was supposed to be) was absolutely inedible. Couldn't cut it with...More",Such a charming spot,4.0
"Dear P F
Thank you for sharing your thoughts on your recent visit and I am sorry that your meal was not up to our usual standards. We will ensure we review your feedback at our next team meeting to see how and where we...More",No sound of silence,2.0
"One of my London regulars. Great value down to earth food in an atmospheric ancient building. Always the hope of catching something wonderful being rehearsed in the Church above, which is also worth visiting. Great shop, too.",The Locals Know,5.0
"We were there on a Sunday and they had an excellent roast lunch -roast beef with all the trimmings-for less than ten pounds a head. Tray service. Good choice of other dishes,too. Don't miss the super shops,also in the crypt",Incorrect labelling,2.0
Who would think that there is an restaurant in the basement of an operational church. Friendly staff. Large variety of food items.,A quick cuppa,2.0
"After a memorial service for Edith Cavell today we were invited for Coffee in the Crypt everything was ready (70 people) and it was freshly made, the biscuits were also home made too",Best cafe near Trafalgar Square,4.0
Surprising what you might find in the basement of an operational church. The whole basement area was a cafeteria style restaurant serving hot and cold meals and deserts.Had a nice order of fish and chips. When back another day for a snack.,Eclectic lunch setting,5.0
"My annual visit to London found me once more at The Crypt, and this lunch was again satisfying, delightful and memorable. I come back each year for the ambience of the place, noting that it is actually a real crypt and that you are dining...More","Over cooked, stale, mushy and tasteless. Terrible. No excuse to sell such poor food.",1.0
We came for a free afternoon concert and a walk around Trafalgar Square and found ourselves in the Crypt Cafe where we stopped so my husband could grab a sandwich. We came back a day or so later for dinner when we attended an evening...More,Disappointing,1.0
